Nombre,Precio,Valoracion,Tienda,Fecha
"Portátil Lenovo IdeaPad Slim 3 15IRH10 15,3"" Intel Core i5-13420H 16GB 512GB SSD Windows 11",629.0,,PcComponentes,2026-04-17
"Portátil Gaming HP OMEN 16-am0005ns Intel Core 7 240H 32GB 1TB SSD RTX 5070 16"" Blanco",1399.0,,PcComponentes,2026-04-17
"Samsung Galaxy Book4 Intel Core i7-1355U 16GB 512GB SSD 15.6"" Win 11",699.0,,PcComponentes,2026-04-17
"Portátil Acer Nitro V 16 16"" AMD Ryzen 7 260 32GB 1TB SSD RTX 5050 Sin Sistema Operativo",1177.16,,PcComponentes,2026-04-17
"Portátil HP 255R G10 15.6"" AMD Ryzen 5 7535U 8GB 512GB SSD Radeon 660M FreeDOS",449.91,N/A,PcComponentes,2026-04-17
"Portátil Acer Aspire Go 15 AG15-72P 15,6"" Intel Core 5 120U 16GB Windows 11 Home 512GB SSD Gráficos Intel antirreflejo",549.0,,PcComponentes,2026-04-17
"Portátil Lenovo Legion Pro 5 16ADR10 16"" AMD Ryzen 9 8940HX 32GB 1TB SSD RTX 5070 FreeDos",1769.0,,PcComponentes,2026-04-17
"Samsung Galaxy Book3 360 Intel Evo Core i5-1340P/16GB/512GB SSD/13.3"" Táctil Windows 11",849.0,,PcComponentes,2026-04-17
"Acer Gaming Nitro V 16 AI ANV16-42 16"" AMD Ryzen 7 260 32GB 1TB SSD RTX 5060 Sin sistema operativo",1169.0,,PcComponentes,2026-04-17
"Portátil HP OmniBook 3 16"" AMD Ryzen 5 16GB 1TB SSD Radeon 610M Windows 11",599.0,N/A,PcComponentes,2026-04-17
"Replay Lenovo ThinkPad T14 G1 i5-10310U/16GB/256GB SSD/14"" Refurbished",399.0,,PcComponentes,2026-04-17
"Portátil MSI Crosshair 16 HX AI D2XWGKG-262ES 16"" Intel Core Ultra 9 275HX 32GB 1TB SSD RTX 5070 8GB QHD+ RGB",1899.0,,PcComponentes,2026-04-17
"Portátil HP OMEN Slim 16-an0006ns 16"" Intel Core Ultra 7 255H 24GB 1TB SSD RTX 5060 8GB Shadow Black",1189.0,"4,5/5",PcComponentes,2026-04-17
Portátil Asus Zenbook 14 OLED UX3405CA-QD1181 Intel Core Ultra 7 255H 16GB 1TB SSD Arc 140T Sin S.O.,999.0,N/A,PcComponentes,2026-04-17
"Portátil Acer Nitro V 16 ANV16-42-R80K 16"" AMD Ryzen 7 260 32GB 1TB SSD RTX 5070 Sin sistema operativo",1379.0,"4,5/5",PcComponentes,2026-04-17
"Portátil Lenovo Legion 5 15IRX10 15.1"" Intel Core i7-14700HX 32GB 1TB SSD RTX 5070 8GB OLED Negro",1658.99,"4,7/5",PcComponentes,2026-04-17
"HP AI 15-fd2001ns 15.6"" Intel Core Ultra 7 255U 32GB 1TB SSD Windows 11 Home Plata AI Boost",949.0,"4,5/5",PcComponentes,2026-04-17
"Portátil MSI Cyborg A15 AI B2HWFKG-072XES 15.6"" AMD Ryzen 9 270 32GB 1TB SSD RTX 5060 8GB FreeDOS",1399.0,,PcComponentes,2026-04-17
"Portátil ASUS Vivobook 15 F1504VA-BQ256W 15.6"" Intel Core 7 150U 16GB 1TB SSD Azul",749.0,,PcComponentes,2026-04-17
"Portátil HP 15-fd0271ns 15.6"" Intel Core i3-N305 8GB 512GB SSD FreeDOS Moonlight Blue",379.0,,PcComponentes,2026-04-17
"Portátil DELL Pro 15 Essential PV15250 15.6"" Intel Core i5-1334U 8GB 512GB SSD UHD Graphics Windows 11 Pro",604.57,N/A,PcComponentes,2026-04-17
"Portátil HP OmniBook 3 16"" Intel Core 9 270H 32GB 1TB SSD Intel Graphics FreeDOS",899.01,N/A,PcComponentes,2026-04-17
"Portátil Acer Nitro V 16 ANV16-42 16"" AMD Ryzen 7 260 32GB 1TB SSD RTX 5060 Sin sistema operativo",1199.0,N/A,PcComponentes,2026-04-17
"Portátil Lenovo IdeaPad Slim 3 15IRH10 15,3"" Intel Core i5-13420H 16GB 512GB SSD Intel UHD Graphics",549.0,,PcComponentes,2026-04-17
"Portátil Dell Pro 15 Essential PV15250 15.6"" Intel Core i7-1355U 16GB 512GB SSD UHD Fingerprint Windows 11 Pro",757.21,N/A,PcComponentes,2026-04-17
"Portátil HP OmniBook 3 16-bu0033ns 16"" Intel Core 5 120U 24GB 1TB SSD Intel Graphics FreeDOS",538.99,N/A,PcComponentes,2026-04-17
"Portátil HP 15-fd0267ns 15.6"" Intel Core i5-1334U 8GB 512GB SSD Antirreflectante",459.01,,PcComponentes,2026-04-17
"Portátil HP 250R G10 15.6"" Intel Core 5 120U 16GB 512GB SSD Intel Graphics Windows 11 Home",691.53,N/A,PcComponentes,2026-04-17
"Portátil HP 250R G10 15.6"" Intel Core 3 100U 8GB 512GB SSD Intel Graphics Windows 11 Home",550.31,N/A,PcComponentes,2026-04-17
"HP OMEN 17-db1003ns AMD Ryzen AI 7 350 32GB DDR5 1TB SSD RTX 5060 8GB 17.3""",1449.0,,PcComponentes,2026-04-17
"Portátil HP 250R G9 15.6"" Intel Core 7 150U 16GB 512GB SSD FreeDOS Gris",629.0,N/A,PcComponentes,2026-04-17
"Portátil Dell Pro 15 Essential PV15250 15,6"" Intel Core i7-1355U 16GB 1TB SSD Intel UHD Windows 11 Pro",811.06,,PcComponentes,2026-04-17
"Portátil Acer Nitro V 16 ANV16-42 16"" AMD Ryzen 7 260 16GB 1TB SSD RTX 5050 Sin SO",1069.0,,PcComponentes,2026-04-17
"Portátil HP 15-fd0330ns 15,6"" Intel Core i3-N305 8GB 512GB SSD Intel UHD Graphics Windows 11 Home",538.99,,PcComponentes,2026-04-17
